LED_Index,LED_Address,Latitude,Longitude
0,E001,40.20454000000011,44.485278999999984
1,E002,40.771016,41.168973
2,E003,41.02282066666667,41.783504666666666
3,E004,42.371799,40.317749
4,E005,42.402779,45.195599666666666
5,E006,42.57339066666667,46.83768833333333
6,E007,42.645163374999996,46.077519124999995
7,E008,42.692106714285714,44.961030428571426
8,E009,42.7195962,45.4483048
9,E010,42.7852341,45.8492402
10,E011,42.79484525,46.23773575
11,E012,42.799486,47.82903
12,E013,42.8148025,44.63330875
13,E014,42.895323000000005,46.61239575
14,E015,42.9547138,47.0229506
15,E016,42.9846505,44.2929965
16,E017,42.99322766666667,47.315991
17,E018,43.180188666666666,42.27911922222222
18,E019,43.46508366666667,42.030512
19,E020,43.684017,41.555931
20,E021,43.73826463157895,41.1433897368421
21,E022,43.81873429411765,40.80877994117647
22,E023,43.835139568181816,40.964850295454546
23,E024,43.862432,47.020179
24,E025,43.92986333333333,41.240229
25,E026,43.93799734615384,40.38983546153846
26,E027,44.682435,46.164788
27,E028,45.004715046511635,41.131271627906976
28,E029,49.978976999999986,36.191902340715515
29,E030,52.100571,36.751292999999976
30,E031,52.395164666666666,31.442208666666666
31,E032,53.16577365309318,44.9767700861394
32,E033,54.645653535825545,55.6602867476636
33,E034,55.203098000000004,36.62172700000001
34,E035,55.324538,49.991988
35,E036,55.39706799999999,36.743346999999964
36,E037,55.64484436434109,37.517496674418595
37,E038,55.7665214,55.909934199999995
38,E039,55.800110000000004,37.780018709219846
39,E040,55.870464,36.912964
40,E041,56.3743615,56.468334999999996
41,E042,56.405422,36.671005
42,E043,56.46228083333333,56.11582966666666
43,E044,56.474753,51.111067
44,E045,56.559437,52.887084
45,E046,56.698284,56.8183583125
46,E047,56.764894,51.617467
47,E048,56.829943,52.494354
48,E049,56.914753,50.760254
49,E050,56.986673333778405,35.90380893591458
50,E051,57.082155,49.823902
51,E052,57.088253,56.617301
52,E053,57.14985942857143,56.217668714285715
53,E054,57.389307333333335,55.440105333333335
54,E055,57.41084254545454,55.799381363636364
55,E056,57.4134605,54.72550225
56,E057,57.690265600000004,53.9608702
57,E058,57.7872425,54.997761
58,E059,57.96444966666667,54.48038066666666
59,E060,58.008084,46.184285
60,E061,58.235749125,54.249832874999996
61,E062,58.262368,54.04161554545455
62,E063,58.52322014285714,52.35630728571429
63,E064,58.61512175,52.880263
64,E065,58.63347366666667,52.581204666666665
65,E066,58.64325075,52.07447975
66,E067,58.646133,54.578688
67,E068,58.767651,50.413586
68,E069,58.86103,48.024402
69,E070,58.930815,53.2605865
70,E071,58.965059,51.246401
71,E072,58.969163333333334,51.88112511111111
72,E073,58.988033,47.025416
73,E074,58.995898,51.582517111111116
74,E075,59.03180666666667,54.038965000000005
75,E076,59.0551462,53.744905599999996
76,E077,59.196838,51.97815428571428
77,E078,59.238955,53.548075
78,E079,59.261038666666664,48.3491225
79,E080,59.28772325,48.06289025
80,E081,59.313089,51.640438
81,E082,59.431219266666666,51.19939333333333
82,E083,59.448349500000006,47.860169
83,E084,59.45617133333333,50.76710325
84,E085,59.475799,52.857937
85,E086,59.48568671428571,50.54621157142857
86,E087,59.7179834,53.3101658
87,E088,59.730464749999996,51.5904245
88,E089,59.792136,51.27065733333333
89,E090,59.85478713333333,50.506839600000006
90,E091,59.856177,45.2132935
91,E092,59.86056,48.9354
92,E093,59.97618018181818,46.207983
93,E094,60.092982,46.71989925
94,E095,60.112443,49.859988
95,E096,60.484675,49.479078
96,E097,60.816985,44.597209
97,E098,60.82243042857143,48.81781042857143
98,E099,60.946444,46.211529999999996
99,E100,60.96966175,48.664747750000004
100,E101,61.0864918,48.3178032
101,E102,61.146904,47.182705
102,E103,61.15325466666667,47.61284366666666
103,E104,61.60019,44.08226
104,E105,61.654119,45.8044605
105,E106,61.83696855555556,45.542451444444445
106,E107,61.9274045,46.1355225
107,E108,62.238284666666665,45.869371
108,E109,62.572679199999996,45.4672584
109,E110,62.649966166666665,44.53595133333334
110,E111,62.82491485714286,44.17196342857143
111,E112,62.958948,44.7258365
112,E113,62.998796,45.406413
113,E114,63.042371,44.478694857142855
114,E115,63.18502055555555,44.41828366666667
115,E116,63.216424,43.416526
116,E117,63.21999266666667,45.020045333333336
117,E118,63.303969714285714,44.27046714285714
118,E119,63.68391533333333,44.57470633333333
119,E120,64.11210200000001,44.48239733333333
120,E121,64.28144333333334,45.06745633333333
121,E122,64.5709429,44.5959191
122,E123,64.893946,45.28103
123,E124,65.02558233333333,44.63809366666666
124,E125,65.69963033333333,45.08442933333333
125,E126,65.72132450000001,44.659332
126,E127,66.083704,43.553295
127,E128,66.17170733333333,44.539594
