LED_Index,Pin,Latitude,Longitude
0,P8_7,9.714179156475339,5.135153004759163
1,P8_8,12.188657968188963,-7.900652473664605
2,P8_9,32.09766123690782,-20.543760851724564
3,P8_10,33.33608630359017,2.4466476162009414
4,P8_11,34.056446480779336,-8.12574509489401
5,P8_12,34.98576829433577,15.736404290016702
6,P8_13,35.362018637425614,33.689649431912514
7,P8_14,36.49462606326958,11.111061540125235
8,P8_15,36.52372205398174,44.62099687413441
9,P8_16,36.73691372847509,21.35362728380527
10,P8_17,37.154028288198404,27.453413053611214
11,P8_18,38.04065796533018,5.890538305998653
12,P8_19,39.04544163858802,-2.4713677701963004
13,P8_26,39.93817011742346,14.643296107568636
14,P8_27,40.61396698207778,19.219501017870964
15,P8_28,40.70816780552119,1.9302112691541993
16,P8_29,41.54268965109075,10.77919326127521
17,P8_30,41.64121510143934,-23.944954679635536
18,P8_31,41.75257194169972,24.94469876564338
19,P8_32,41.85370337512934,-9.452890714923361
20,P8_33,42.109722864582544,6.58640497537915
21,P8_34,42.79099986767814,38.63826788792156
22,P8_35,43.34888454228412,31.74226815634239
23,P8_36,43.98355449230639,17.689233130786523
24,P8_37,44.294722979019284,-1.1958318079796069
25,P8_38,44.85426289510262,13.279784576805651
26,P8_39,45.05044722937116,21.729263957411323
27,P8_40,45.13892364528997,9.308408673725925
28,P8_41,45.18916482211369,3.627245669169911
29,P8_42,46.96271385188755,27.787410989763885
30,P8_43,47.61188698104878,15.714983157080972
31,P8_44,47.88191242391152,6.452326486337915
32,P8_45,48.36425433944856,11.31466171227618
33,P8_46,48.838619481938665,1.917933335326918
34,P9_12,48.87577453732278,19.37581883707182
35,P9_13,49.61456995561505,23.408424651910252
36,P9_14,50.66828967783049,41.30150338821528
37,P9_15,51.809503603964586,5.602010850812405
38,P9_16,51.87362702268241,33.558294575072104
39,P9_17,52.359247838952164,15.05420022890875
40,P9_18,52.47863632706745,9.947569059624563
41,P9_19,53.0633654987822,-2.919491877314604
42,P9_20,53.71146633724624,20.338256675307193
43,P9_21,53.94189305012204,26.84024453212622
44,P9_22,55.72474391143829,55.02786210885245
45,P9_23,57.72432232547517,7.139725316585181
46,P9_24,58.3294491024869,40.82354463443513
47,P9_25,58.502461280729314,31.9316723593909
48,P9_26,59.12415309037295,13.589980866990457
49,P9_27,61.68438522504614,24.400231461920967
