LED_Index,LED_Address,Latitude,Longitude
0,G001,-32.92786000000002,27.998137
1,G002,-26.924702000000003,28.413055
2,G003,-16.025619999999996,35.516335
3,G004,-0.2583350000000024,36.195316000000005
4,G005,5.577314000000001,-0.3001590000000043
5,G006,32.072147,34.780373
6,G007,35.234337000000004,23.636314
7,G008,35.875,14.396962999999998
8,G009,35.921017,14.366867000000004
9,G010,36.91215565116279,30.777451
10,G011,36.970783000000004,22.144720000000003
11,G012,36.98947099999999,21.793328056910564
12,G013,37.03819299999997,22.11448300000002
13,G014,37.327052999999985,22.205885
14,G015,37.621788,15.04553885
15,G016,37.74597860747662,20.837451999999995
16,G017,37.885334,20.677574000000003
17,G018,38.014999,23.821952357142855
18,G019,38.02808800000001,23.929970000000004
19,G020,38.040337000000015,23.945104999999998
20,G021,38.142321800000005,15.2058044
21,G022,38.38922100000001,27.088255439834036
22,G023,38.44086799999995,22.88252291446029
23,G024,38.450386,22.995215999999996
24,G025,38.49479772222222,23.162591833333334
25,G026,38.95254099999999,16.307252999999967
26,G027,39.18032099999999,23.507920999999996
27,G028,39.541756,20.279846
28,G029,39.622128,20.890339
29,G030,39.84798399999999,32.81738300000004
30,G031,40.418678,22.608931999999996
31,G032,40.68649653670474,22.856135853181073
32,G033,40.756218,23.136837000000007
33,G034,40.941017,29.372804999999985
34,G035,41.5606305,25.105062166666666
35,G036,41.615502,25.002499875
36,G037,41.626441375,24.888512125
37,G038,41.635655666666665,25.083726333333335
38,G039,41.695011,24.739185
39,G040,41.7018195,24.9950945
40,G041,41.735565,25.219746
41,G042,41.75297725,24.84194075
42,G043,41.76654333333334,25.132527666666668
43,G044,41.775156,24.73587
44,G045,41.78355825,24.9118005
45,G046,41.79372918181818,25.004971636363635
46,G047,41.79860969230769,25.074636923076923
47,G048,41.8019452,24.844339599999998
48,G049,41.81265,25.221027
49,G050,41.828525,24.063937
50,G051,41.83728058333333,24.941825916666666
51,G052,41.84619766666667,25.039220666666665
52,G053,41.868798,24.773449
53,G054,41.878805,24.638906499999997
54,G055,41.88826866666667,24.4397665
55,G056,41.89049675,24.501052166666668
56,G057,41.8925014,24.3449536
57,G058,41.894473,24.20886
58,G059,41.899550375000004,24.91624925
59,G060,41.90617057142857,24.385518285714287
60,G061,41.917079,24.551915
61,G062,41.919002,24.094519
62,G063,41.959323,25.021036
63,G064,42.00574,24.9357305
64,G065,42.010357,24.363767
65,G066,42.022697,24.453660499999998
66,G067,42.049715666666664,24.707939333333332
67,G068,42.093251,23.904295
68,G069,42.128170739371534,24.070179000000007
69,G070,42.178776,23.585440000000006
70,G071,42.45819900000001,24.937103000000004
71,G072,42.59811156813418,23.48299231446541
72,G073,42.6023525,25.2869345
73,G074,42.625389,26.962623
74,G075,42.628675,25.368531333333333
75,G076,42.649197,18.101616000000003
76,G077,42.783264,25.714196
77,G078,42.827073,25.661735999999998
78,G079,42.85563553846154,25.57718276923077
79,G080,42.862626923076924,25.472580923076922
80,G081,42.8635621875,25.5244355625
81,G082,42.868095,25.365124
82,G083,42.88201645454546,25.55012309090909
83,G084,42.88335278571429,25.496228857142857
84,G085,42.88634155555555,25.580492555555555
85,G086,42.9081688903108,23.535340579524682
86,G087,42.909874,25.6374873
87,G088,42.92725133333333,25.589026333333333
88,G089,42.93792116666667,25.438372666666666
89,G090,42.989312999999996,25.545855
90,G091,43.0071594,25.3805258
91,G092,43.01218725,25.447170749999998
92,G093,43.23693225,24.577664249999998
93,G094,43.2636879375,24.630536875
94,G095,43.27222676923077,24.683775384615384
95,G096,43.27551628571429,24.772793285714286
96,G097,43.28205718181818,24.71736531818182
97,G098,43.29643957142857,24.73923907142857
98,G099,43.31110846666667,24.659476933333334
99,G100,43.31342685714286,24.609130357142856
100,G101,43.328468523809526,24.719524380952382
101,G102,43.335934875,24.550881875
102,G103,43.3426698,24.7846632
103,G104,43.3590888,24.6766723
104,G105,43.384361,24.7523655
105,G106,43.3853025,24.60332025
106,G107,43.397738,24.714602142857142
107,G108,43.403888499999994,24.47511
108,G109,43.4349695,24.6660605
109,G110,43.533341500000006,24.565007
110,G111,44.42337923076923,26.144124846153844
111,G112,44.61587814285714,24.753584714285715
112,G113,44.814506,24.543784
113,G114,44.93688,32.025935
114,G115,44.944015,31.9223515
115,G116,44.965771,31.741936
116,G117,44.977988,32.143022
117,G118,45.0728385,31.968529
118,G119,45.094091,32.134681
119,G120,45.14447533333333,32.02348333333334
120,G121,45.155613333333335,31.914276666666666
121,G122,45.259394,31.627336
122,G123,45.49564400000002,25.972189000000018
123,G124,46.23931499999993,27.672364886681333
124,G125,46.77374709385109,23.61392454692557
125,G126,49.137879,30.981559
126,G127,49.229568,28.428968
127,G128,50.40362500000001,30.384259999999998
