LED_Index,LED_Address,Latitude,Longitude
0,B001,43.377407860824746,5.511008041237119
1,B002,43.780147,7.223840363636364
2,B003,43.923427533980586,3.955264563106807
3,B004,44.1303681980198,4.827847767326725
4,B005,44.358208037037045,9.28516336111111
5,B006,44.69720499999998,4.30291399999999
6,B007,44.78553617158181,9.316294526809642
7,B008,45.02349557777779,7.520584683333334
8,B009,45.40267916129032,6.53571610696097
9,B010,45.56588922352941,8.742580105882354
10,B011,45.60896762352941,4.7139715529411745
11,B012,46.10291471893153,7.210910329849023
12,B013,46.132675,3.458047999999998
13,B014,46.30081033913039,6.311587438260864
14,B015,46.38587919649804,6.955792688715962
15,B016,46.703396000000005,9.712464058823537
16,B017,46.72837068443104,7.987853204415689
17,B018,46.77781200189757,10.169588663187868
18,B019,46.83732999999997,7.366548999999991
19,B020,46.887299000000006,7.627552961661335
20,B021,46.98192846117374,7.468375639596973
21,B022,47.07077116423356,7.124494416058399
22,B023,47.146981932801005,9.431289733865626
23,B024,47.17286246617776,8.468695451507747
24,B025,47.24689500000001,5.989384999999999
25,B026,47.25739699999999,8.1844202641196
26,B027,47.36661910505834,7.567856169909203
27,B028,47.41158373443461,9.750901756035592
28,B029,47.46247164631348,9.095732366935497
29,B030,47.49164440443211,8.292643472991687
30,B031,47.55354931762377,8.647372801980211
31,B032,47.84343854744526,7.928197349553938
32,B033,47.88314799999999,6.988249344563549
33,B034,47.98045926074498,8.894038269340971
34,B035,48.12301157210396,8.33394225591017
35,B036,48.30473068345324,8.761741
36,B037,48.31957076244953,8.923880351951558
37,B038,48.43488115464744,9.953696225961544
38,B039,48.43518947793465,9.162001767431592
39,B040,48.59791900000001,8.855437742647068
40,B041,48.676418000000005,7.986192
41,B042,48.67813874959873,6.2092310377207225
42,B043,48.774586000000006,8.732038992125979
43,B044,48.782315751753174,9.520122157783987
44,B045,48.83347299999999,9.194559118131874
45,B046,48.853727582456145,3.770786059649123
46,B047,48.969042,10.969778976744188
47,B048,48.98843171235955,8.19173215505618
48,B049,49.01619801449275,4.610795086956521
49,B050,49.14770617353579,8.687636040130146
50,B051,49.17179439695945,10.319928287162147
51,B052,49.25603346341463,7.256301951219513
52,B053,49.39021684810127,9.41483724050633
53,B054,49.401490552217474,10.831467715307648
54,B055,49.403468999999994,8.247623627986348
55,B056,49.4625332530242,11.020757381048357
56,B057,49.502409365482244,8.504934039593909
57,B058,49.50415399999999,4.360262935933135
58,B059,49.625507312903224,6.101649158064526
59,B060,49.69901667721519,10.730248639240507
60,B061,49.76913739931351,8.635580586956518
61,B062,49.956839469696966,10.999365825757579
62,B063,49.97814635744681,8.86825900851064
63,B064,49.97834823907455,8.284307241645246
64,B065,50.25318948780488,10.152681336585362
65,B066,50.319694999999996,7.700424848920863
66,B067,50.363181022318216,4.30266176241898
67,B068,50.363990390862945,11.156696189267553
68,B069,50.48184833333333,8.906605816666666
69,B070,50.638301999999996,5.822262000000018
70,B071,50.68572561617313,7.2631359658314425
71,B072,50.730965455490825,4.843300428452466
72,B073,50.743571076871675,10.86464994518713
73,B074,50.76645971539512,6.256884624942979
74,B075,50.843028999999994,4.4132413611940295
75,B076,50.85603876963351,5.433481518324607
76,B077,50.94340995399997,11.110264109499951
77,B078,50.987839453561705,6.315068243162035
78,B079,51.00175500000002,5.901619331557939
79,B080,51.043082999999996,3.7466924903846364
80,B081,51.053766109489054,4.630008076642332
81,B082,51.12576300000002,6.437608892307684
82,B083,51.17382799999999,4.8286170000000075
83,B084,51.204259319309585,10.957351815533974
84,B085,51.22362735076923,7.648807098461543
85,B086,51.258331234241936,6.211905658432714
86,B087,51.299056999999976,9.474242259197327
87,B088,51.313631520897054,6.916506094801236
88,B089,51.31597244582394,4.4376930327313975
89,B090,51.38092930777096,7.25050075562373
90,B091,51.44457308392602,6.484638361308671
91,B092,51.50199223974475,6.846695407474961
92,B093,51.58858810288806,5.0195824675089895
93,B094,51.67896877704377,5.5394123030553875
94,B095,51.6985617607699,10.427321742438089
95,B096,51.75448076278287,8.508092082984074
96,B097,51.79207589089646,11.545640105628896
97,B098,51.817245,8.843394066884168
98,B099,51.819076999999986,9.861623254493125
99,B100,51.89344099079187,4.162432674033177
100,B101,51.92697951386774,9.37807829106988
101,B102,51.97042555259978,4.491961006045998
102,B103,51.99798114035088,10.400202694235592
103,B104,52.01534700000002,8.714625129985237
104,B105,52.077338999999974,4.830540000000035
105,B106,52.13526169121814,4.308630813031164
106,B107,52.21341585233449,9.091487377307267
107,B108,52.216535832167835,6.957981489510489
108,B109,52.28723478804348,7.549958298913044
109,B110,52.293325658410744,5.9522033797729685
110,B111,52.3021157765363,10.574707313966485
111,B112,52.30987378589418,8.942415767002517
112,B113,52.480377537766806,9.822935642036171
113,B114,52.50575446153846,4.869019818681317
114,B115,52.569984,5.931271000000001
115,B116,52.577155999999995,8.137508
116,B117,52.683628,11.422641999999998
117,B118,52.98245615795384,10.568655163575041
118,B119,52.983772,6.002339149999999
119,B120,52.998614999999994,6.58098921212121
120,B121,53.06191600065022,8.800165117685323
121,B122,53.18939089384446,8.57857407113899
122,B123,53.544470167934406,9.828871897015746
123,B124,53.799647999999976,8.618093999999997
124,B125,53.873445173119094,10.707506875821695
125,B126,54.290375000000026,10.885394242622947
126,B127,54.323880739024396,9.65922481463415
127,B128,54.41160473687531,9.98110497280201
